S.No	Index Name	Code	System Value	S.No	SS Notes
203	S&P BSE 200	S&PBSE200	S&P BSE 200	203	Active
204	S&P BSE 250 LargeMidCap Index	S&PBSE250LMC	S&P BSE 250 LargeMidCap Index	204	Data no longer available
205	BSE 250 LargeMidCap Index	S&PBSE250LMC6535	S&P BSE 250 LargeMidCap 65 35 Index	205	Active
205	S&P BSE 250 LargeMidCap 65 35 Index	S&PBSE250LMC6535	S&P BSE 250 LargeMidCap 65 35 Index	205	Active
206	BSE 250 SmallCap Index	S&PBSE250SC	S&P BSE 250 SmallCap Index	206	Active
206	S&P BSE 250 SmallCap Index	S&PBSE250SC	S&P BSE 250 SmallCap Index	206	Active
207	BSE 400 MidSmallCap Index	S&PBSE400MSC	S&P BSE 400 MidSmallCap Index	207	Active
207	S&P BSE 400 MidSmallCap Index	S&PBSE400MSC	S&P BSE 400 MidSmallCap Index	207	Active
208	BSE 500	S&PBSE500	S&P BSE 500	208	Active
208	S&P BSE 500	S&PBSE500	S&P BSE 500	208	Active
209	BSE 500 Shariah	S&PBSE500SHARIAH	S&P BSE 500 Shariah	209	Active
209	S&P BSE 500 Shariah	S&PBSE500SHARIAH	S&P BSE 500 Shariah	209	Active
210	BSE AllCap	S&PBSEALLCAP	S&P BSE AllCap	210	Active
210	S&P BSE AllCap	S&PBSEALLCAP	S&P BSE AllCap	210	Active
211	S&P BSE Arbitrage Rate Index (INR)	S&PBSEARIINR	S&P BSE Arbitrage Rate Index (INR)	211	Data no longer available
212	BSE AUTO	S&PBSEAUTO	S&P BSE Auto	212	Active
212	S&P BSE Auto	S&PBSEAUTO	S&P BSE Auto	212	Active
213	BSE BANKEX	S&PBSEBANKEX	S&P BSE BankEx	213	Active
213	S&P BSE BankEx	S&PBSEBANKEX	S&P BSE BankEx	213	Active
214	BSE Bharat 22 Index	S&PBSEBHARAT22	S&P BSE Bharat 22 Index	214	Active
214	S&P BSE Bharat 22 Index	S&PBSEBHARAT22	S&P BSE Bharat 22 Index	214	Active
215	BSE CAPITAL GOODS	S&PBSECAPGOODS	S&P BSE Capital Goods	215	Active
215	S&P BSE Capital Goods	S&PBSECAPGOODS	S&P BSE Capital Goods	215	Active
216	BSE CARBONEX	S&PBSECARBONEX	S&P BSE CarbonEx	216	Data no longer available
216	S&P BSE CarbonEx	S&PBSECARBONEX	S&P BSE CarbonEx	216	Data no longer available
217	S&P BSE India Corporate Bond Index	S&PBSECBI	S&P BSE India Corporate Bond Index	217	Data no longer available
218	BSE CAPITAL MARKETS & INSURANCE	S&PBSECMI	S&P BSE Capital Markets & Insurance	218	Active
219	BSE Commodities	S&PBSECOMMODITIES	S&P BSE Commodities	219	Active
219	S&P BSE Commodities	S&PBSECOMMODITIES	S&P BSE Commodities	219	Active
220	BSE Consumer Discretionary	S&PBSECONSDISC	S&P BSE Consumer Discretionary	220	Active
220	S&P BSE Consumer Discretionary	S&PBSECONSDISC	S&P BSE Consumer Discretionary	220	Active
221	BSE CONSUMER DURABLES	S&PBSECONSDUR	S&P BSE Consumer Durables	221	Active
221	S&P BSE Consumer Durables	S&PBSECONSDUR	S&P BSE Consumer Durables	221	Active
222	BSE CPSE	S&PBSECPSE	S&P BSE CPSE	222	Active
222	S&P BSE CPSE	S&PBSECPSE	S&P BSE CPSE	222	Active
223	BSE Diversified Financials Revenue Growth Index	S&PBSEDFREVGR	S&P BSE Diversified Financials Revenue Growth Index	223	Active
223	S&P BSE Diversified Financials Revenue Growth Index	S&PBSEDFREVGR	S&P BSE Diversified Financials Revenue Growth Index	223	Active
224	BSE Dividend Stability Index	S&PBSEDIVST	S&P BSE Dividend Stability Index	224	Active
224	S&P BSE Dividend Stability Index	S&PBSEDIVST	S&P BSE Dividend Stability Index	224	Active
225	BSE DOLLEX 100	S&PBSEDOL100	S&P BSE DollEx 100	225	Active
225	S&P BSE DollEx 100	S&PBSEDOL100	S&P BSE DollEx 100	225	Active
226	BSE DOLLEX 200	S&PBSEDOL200	S&P BSE DollEx 200	226	Active
226	S&P BSE DollEx 200	S&PBSEDOL200	S&P BSE DollEx 200	226	Active
227	BSE DOLLEX 30	S&PBSEDOL30	S&P BSE DollEx 30	227	Active
227	S&P BSE DollEx 30	S&PBSEDOL30	S&P BSE DollEx 30	227	Active
228	BSE Momentum Index	S&PBSEEMOM	S&P BSE Momentum Index	228	Active
228	S&P BSE Momentum Index	S&PBSEEMOM	S&P BSE Momentum Index	228	Active
229	BSE Energy	S&PBSEENERGY	S&P BSE Energy	229	Active
229	S&P BSE Energy	S&PBSEENERGY	S&P BSE Energy	229	Active
230	BSE Enhanced Value Index	S&PBSEENHVAL	S&P BSE Enhanced Value Index	230	Active
230	S&P BSE Enhanced Value Index	S&PBSEENHVAL	S&P BSE Enhanced Value Index	230	Active
231	BSE 200 EQUAL WEIGHT INDEX	S&PBSEEWI	S&P BSE Equal Weight Index	231	Active
232	S&P BSE India Financials Bond Index	S&PBSEFBI	S&P BSE India Financials Bond Index	232	Data no longer available
233	BSE Financials Ex-Banks 30 Index	S&PBSEFExB30	S&P BSE Financials Ex-Banks 30 Index	233	Active
233	BSE Financials Ex-Banks 30 Index	S&PBSEFExB30	S&P BSE Financials Ex-Banks 30 Index	233	Active
233	BSE Financials Ex-Banks 30 Index 	S&PBSEFExB30	S&P BSE Financials Ex-Banks 30 Index	233	Active
233	S&P BSE Financials Ex-Banks 30 Index	S&PBSEFExB30	S&P BSE Financials Ex-Banks 30 Index	233	Active
234	BSE Financial Services	S&PBSEFINSERV	S&P BSE Financial Services	234	Active
234	S&P BSE Financial Services	S&PBSEFINSERV	S&P BSE Financial Services	234	Active
235	BSE Focused IT 	S&PBSEFIT	S&P BSE Focused IT	235	Active
